Esn,Country,Localized Device Description,Device Description,Ip,Region Code Display Name,Ts
NFANDROID1-PRV-P-XIAOMM2101K7AG-20503-02FE7254110C2A4F6F7C677A718D929620647FC5D024677B55E024856811D5480,BR,DefaultWidevineAndroidPhone,DefaultWidevineAndroidPhone,170.254.36.203,Rio de Janeiro,2022-07-03T16:39:50.890Z
NFCDIE-03-J4LCXRATE0JDCNPW5YHT5K84R2W9E3,BR,Edge OSS - Windows (Cadmium),Edge OSS - Windows (Cadmium),170.254.36.203,Rio de Janeiro,2022-07-02T16:43:03.517Z
NFANDROID1-PRV-P-XIAOMM2101K7AG-20503-02FE7254110C2A4F6F7C677A718D929620647FC5D024677B55E024856811D5480,BR,DefaultWidevineAndroidPhone,DefaultWidevineAndroidPhone,170.254.36.203,Rio de Janeiro,2022-07-01T00:40:40.219Z
NFCDIE-03-J4LCXRATE0JDCNPW5YHT5K84R2W9E3,BR,Edge OSS - Windows (Cadmium),Edge OSS - Windows (Cadmium),170.254.36.203,Rio de Janeiro,2022-06-12T23:55:31.676Z
SSTV-NVT1-0000000000000007327555,BR,Samsung Novatek DTV Smart TV,Samsung Novatek DTV Smart TV,170.254.36.203,Rio de Janeiro,2022-06-12T16:36:53.046Z
SSTV-NVT1-0000000000000007327555,BR,Samsung Novatek DTV Smart TV,Samsung Novatek DTV Smart TV,170.254.36.203,Rio de Janeiro,2022-06-12T16:36:53.037Z
SSTV-NVT1-0000000000000007327555,BR,Samsung Novatek DTV Smart TV,Samsung Novatek DTV Smart TV,170.254.36.138,Rio de Janeiro,2022-06-10T01:06:55.323Z
NFCDIE-03-J4LCXRATE0JDCNPW5YHT5K84R2W9E3,BR,Edge OSS - Windows (Cadmium),Edge OSS - Windows (Cadmium),170.254.36.138,Rio de Janeiro,2022-06-07T13:38:48.362Z
NFANDROID1-PRV-P-XIAOMM2101K7AG-20503-02FE7254110C2A4F6F7C677A718D929620647FC5D024677B55E024856811D5480,BR,DefaultWidevineAndroidPhone,DefaultWidevineAndroidPhone,170.254.36.138,Rio de Janeiro,2022-05-16T17:54:22.038Z
SSTV-NVT1-0000000000000007327555,BR,Samsung Novatek DTV Smart TV,Samsung Novatek DTV Smart TV,170.254.36.138,Rio de Janeiro,2022-05-11T15:28:08.465Z
NFCDIE-03-J4LCXRATE0JDCNPW5YHT5K84R2W9E3,BR,Edge OSS - Windows (Cadmium),Edge OSS - Windows (Cadmium),170.254.36.138,Rio de Janeiro,2022-05-11T13:57:58.902Z
SSTV-NVT1-0000000000000007327555,BR,Samsung Novatek DTV Smart TV,Samsung Novatek DTV Smart TV,170.254.36.206,Rio de Janeiro,2022-05-10T15:17:42.448Z
NFCDIE-03-J4LCXRATE0JDCNPW5YHT5K84R2W9E3,BR,Edge OSS - Windows (Cadmium),Edge OSS - Windows (Cadmium),170.254.36.206,Rio de Janeiro,2022-05-10T13:33:03.060Z
NFANDROID1-PRV-P-XIAOMM2101K7AG-20503-02FE7254110C2A4F6F7C677A718D929620647FC5D024677B55E024856811D5480,BR,DefaultWidevineAndroidPhone,DefaultWidevineAndroidPhone,170.254.36.206,Rio de Janeiro,2022-05-09T21:29:38.947Z
SSTV-NVT1-0000000000000007327555,BR,Samsung Novatek DTV Smart TV,Samsung Novatek DTV Smart TV,170.254.36.206,Rio de Janeiro,2022-04-28T16:50:35.568Z
SSTV-NVT1-0000000000000007327555,BR,Samsung Novatek DTV Smart TV,Samsung Novatek DTV Smart TV,170.254.36.206,Rio de Janeiro,2022-04-28T16:50:35.558Z
NFANDROID1-PRV-P-XIAOMM2101K7AG-20503-02FE7254110C2A4F6F7C677A718D929620647FC5D024677B55E024856811D5480,BR,DefaultWidevineAndroidPhone,DefaultWidevineAndroidPhone,170.254.36.206,Rio de Janeiro,2022-04-28T16:49:29.855Z
NFCDIE-03-J4LCXRATE0JDCNPW5YHT5K84R2W9E3,BR,Edge OSS - Windows (Cadmium),Edge OSS - Windows (Cadmium),170.254.36.206,Rio de Janeiro,2022-04-28T16:41:06.746Z
