Profile Name,Source,Navigation Level,Referrer Url,Webpage Url,Click Utc Ts
Jessica,tvui,movieDetails,,,2023-01-16 00:41:39
Jessica,tvui,movieDetails,,,2023-01-16 00:39:53
Jessica,tvui,browseTitles,,,2023-01-16 00:39:53
Jessica,tvui,playback,,,2023-01-16 00:39:45
Jessica,tvui,movieDetails,,,2023-01-16 00:39:45
Jessica,tvui,movieDetails,,,2023-01-16 00:38:32
Jessica,tvui,playback,,,2023-01-16 00:38:32
Jessica,tvui,browseTitles,,,2023-01-16 00:38:22
Jessica,tvui,movieDetails,,,2023-01-16 00:38:22
Jessica,tvui,movieDetails,,,2023-01-15 15:14:00
Jessica,tvui,playback,,,2023-01-15 15:14:00
Jessica,tvui,browseTitles,,,2023-01-15 15:13:52
Jessica,tvui,movieDetails,,,2023-01-15 15:13:52
Jessica,tvui,postPlay,,,2023-01-15 00:17:46
Jessica,tvui,playback,,,2023-01-15 00:17:46
Jessica,tvui,playback,,,2023-01-15 00:17:42
Jessica,tvui,postPlay,,,2023-01-15 00:17:42
Jessica,tvui,movieDetails,,,2023-01-14 23:59:59
Jessica,tvui,playback,,,2023-01-14 23:59:59
Jessica,tvui,browseTitles,,,2023-01-14 23:59:57
Jessica,tvui,movieDetails,,,2023-01-14 23:59:57
Jessica,tvui,movieDetails,,,2023-01-13 22:10:49
Jessica,tvui,playback,,,2023-01-13 22:10:49
Jessica,tvui,browseTitles,,,2023-01-13 22:10:46
Jessica,tvui,movieDetails,,,2023-01-13 22:10:46
Jessica,tvui,movieDetails,,,2023-01-13 22:10:38
Jessica,tvui,browseTitles,,,2023-01-13 22:10:38
Jessica,tvui,playback,,,2023-01-13 22:10:33
Jessica,tvui,movieDetails,,,2023-01-13 22:10:33
Jessica,tvui,movieDetails,,,2023-01-13 22:00:39
Jessica,tvui,playback,,,2023-01-13 22:00:39
Jessica,tvui,browseTitles,,,2023-01-13 22:00:36
Jessica,tvui,movieDetails,,,2023-01-13 22:00:36
Jessica,tvui,browseTitles,,,2023-01-13 16:47:33
Jessica,tvui,playback,,,2023-01-13 16:47:33
Jessica,tvui,movieDetails,,,2023-01-13 16:07:51
