Profile Name,Country Iso Code,Device,Is Kids,Query Typed,Displayed Name,Action,Section,Utc Timestamp
Jessica,BR,Smart TV,0,gu,The Forgotten Battle,play,suggestion_results,2023-01-21 22:09:23
Jessica,BR,Smart TV,0,gu,The Forgotten Battle,select,suggestion_results,2023-01-21 22:09:17
Jessica,BR,Smart TV,0,gu,,select,suggestion_results,2023-01-21 22:09:08
Jessica,BR,Smart TV,0,cida,,play,title_results,2023-01-20 21:55:47
Jessica,BR,Smart TV,0,cida,,select,title_results,2023-01-20 21:55:31
Jessica,BR,Smart TV,0,seg,Rambo: Last Blood,play,title_results,2023-01-08 17:37:32
Jessica,BR,Smart TV,0,seg,Rambo: Last Blood,select,title_results,2023-01-08 17:37:28
Jessica,BR,Smart TV,0,mina,Mine,select,title_results,2023-01-08 15:41:55
Jessica,BR,Smart TV,0,mina,Unbroken,select,title_results,2023-01-08 15:40:17
Jessica,BR,Smart TV,0,mina,The Outpost,select,title_results,2023-01-08 15:39:46
Jessica,BR,Smart TV,0,gi,,play,title_results,2022-12-27 03:05:25
Jessica,BR,Smart TV,0,gi,,select,title_results,2022-12-27 03:05:20
Jessica,BR,Android Phone,0,perfeita é a mãe ,,select,title_results,2022-12-26 01:35:21
Jessica,BR,Smart TV,0,ts,The Impossible,play,title_results,2022-12-23 00:17:38
Jessica,BR,Smart TV,0,ts,The Impossible,select,title_results,2022-12-23 00:17:33
Jessica,BR,Smart TV,0,ts,Force of Nature,select,title_results,2022-12-23 00:17:18
Jessica,BR,Smart TV,0,ts,Airport '77,select,title_results,2022-12-23 00:16:53
Jessica,BR,Smart TV,0,ts,The Wolf's Call,select,title_results,2022-12-23 00:16:31
Jessica,BR,Smart TV,0,ts,,select,title_results,2022-12-23 00:15:42
Jessica,BR,Smart TV,0,hot,,select,suggestion_results,2022-12-18 18:06:29
Jessica,BR,Smart TV,0,hot,,select,suggestion_results,2022-12-18 18:06:27
Jessica,BR,Smart TV,0,ha,Cloudy with a Chance of Meatballs,play,title_results,2022-12-17 16:45:18
Jessica,BR,Smart TV,0,ha,Cloudy with a Chance of Meatballs,select,title_results,2022-12-17 16:45:13
Jessica,BR,Smart TV,0,comu,Cuba and the Cameraman,play,title_results,2022-12-14 21:13:36
Jessica,BR,Smart TV,0,comu,Cuba and the Cameraman,select,title_results,2022-12-14 21:13:22
