Profile Name,Title Description,Device,Playback Start Utc Ts,Country,Playtraces
Jessica,"To the Lake: Season 1: ""Episode 7""",Samsung Novatek DTV Smart TV,2023-01-23 03:43:19,BR,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":27000},{""eventType"":""playing"",""sessionOffsetMs"":6007,""mediaOffsetMs"":27000},{""eventType"":""playing"",""sessionOffsetMs"":8557,""mediaOffsetMs"":28000},{""eventType"":""playing"",""sessionOffsetMs"":18091,""mediaOffsetMs"":38000},{""eventType"":""playing"",""sessionOffsetMs"":20204,""mediaOffsetMs"":40000},{""eventType"":""stopped"",""sessionOffsetMs"":1159007,""mediaOffsetMs"":1178803}]"
Jessica,"To the Lake: Season 1: ""Episode 6""",Samsung Novatek DTV Smart TV,2023-01-23 02:52:27,BR,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":6652,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":11176,""mediaOffsetMs"":4000},{""eventType"":""playing"",""sessionOffsetMs"":14695,""mediaOffsetMs"":8000},{""eventType"":""stopped"",""sessionOffsetMs"":3033119,""mediaOffsetMs"":3022000}]"
Jessica,The Wolf's Call,Samsung Novatek DTV Smart TV,2023-01-22 17:18:39,BR,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":21000},{""eventType"":""playing"",""sessionOffsetMs"":5410,""mediaOffsetMs"":21000},{""eventType"":""paused"",""sessionOffsetMs"":27971,""mediaOffsetMs"":42000},{""eventType"":""stopped"",""sessionOffsetMs"":29935,""mediaOffsetMs"":42000}]"
Jessica,The Forgotten Battle,Samsung Novatek DTV Smart TV,2023-01-22 16:27:52,BR,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":4873000},{""eventType"":""playing"",""sessionOffsetMs"":7066,""mediaOffsetMs"":4873000},{""eventType"":""paused"",""sessionOffsetMs"":10850,""mediaOffsetMs"":4875000},{""eventType"":""reposition"",""sessionOffsetMs"":33763,""mediaOffsetMs"":4770000},{""eventType"":""playing"",""sessionOffsetMs"":37291,""mediaOffsetMs"":4770000},{""eventType"":""paused"",""sessionOffsetMs"":1083188,""mediaOffsetMs"":5816000},{""eventType"":""playing"",""sessionOffsetMs"":1154275,""mediaOffsetMs"":5816000},{""eventType"":""paused"",""sessionOffsetMs"":2004796,""mediaOffsetMs"":6666000},{""eventType"":""reposition"",""sessionOffsetMs"":2017545,""mediaOffsetMs"":6370000},{""eventType"":""playing"",""sessionOffsetMs"":2021059,""mediaOffsetMs"":6370000},{""eventType"":""paused"",""sessionOffsetMs"":2175739,""mediaOffsetMs"":6524000},{""eventType"":""playing"",""sessionOffsetMs"":2176452,""mediaOffsetMs"":6524000},{""eventType"":""paused"",""sessionOffsetMs"":2177620,""mediaOffsetMs"":6526000},{""eventType"":""playing"",""sessionOffsetMs"":2305394,""mediaOffsetMs"":6526000},{""eventType"":""paused"",""sessionOffsetMs"":3025400,""mediaOffsetMs"":7245000},{""eventType"":""stopped"",""sessionOffsetMs"":3027053,""mediaOffsetMs"":7245000}]"
Jessica,The Wolf's Call,Samsung Novatek DTV Smart TV,2023-01-22 16:27:06,BR,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":6946,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":11465,""mediaOffsetMs"":4000},{""eventType"":""playing"",""sessionOffsetMs"":19606,""mediaOffsetMs"":12000},{""eventType"":""playing"",""sessionOffsetMs"":21621,""mediaOffsetMs"":14000},{""eventType"":""paused"",""sessionOffsetMs"":28526,""mediaOffsetMs"":21000},{""eventType"":""stopped"",""sessionOffsetMs"":30921,""mediaOffsetMs"":21000}]"
Jessica,"To the Lake: Season 1: ""Episode 5""",Samsung Novatek DTV Smart TV,2023-01-22 01:48:48,BR,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":5541,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":2727350,""mediaOffsetMs"":2721000},{""eventType"":""stopped"",""sessionOffsetMs"":2729068,""mediaOffsetMs"":2721000}]"
Jessica,"To the Lake: Season 1: ""Episode 4""",Samsung Novatek DTV Smart TV,2023-01-22 00:57:41,BR,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":5281,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":3062141,""mediaOffsetMs"":3056000},{""eventType"":""stopped"",""sessionOffsetMs"":3063622,""mediaOffsetMs"":3056000}]"
Jessica,"To the Lake: Season 1: ""Episode 3""",Samsung Novatek DTV Smart TV,2023-01-22 00:52:05,BR,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":2963000},{""eventType"":""playing"",""sessionOffsetMs"":5881,""mediaOffsetMs"":2963000},{""eventType"":""stopped"",""sessionOffsetMs"":316207,""mediaOffsetMs"":3268000}]"
Jessica,The Forgotten Battle,Samsung Novatek DTV Smart TV,2023-01-21 22:09:28,BR,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":8136,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":518534,""mediaOffsetMs"":510000},{""eventType"":""reposition"",""sessionOffsetMs"":531436,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":533951,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":3824394,""mediaOffsetMs"":3289000},{""eventType"":""playing"",""sessionOffsetMs"":6649707,""mediaOffsetMs"":3289000},{""eventType"":""paused"",""sessionOffsetMs"":8232612,""mediaOffsetMs"":4873000},{""eventType"":""stopped"",""sessionOffsetMs"":9733895,""mediaOffsetMs"":4873000}]"
Jessica,"To the Lake: Season 1: ""Episode 3""",Samsung Novatek DTV Smart TV,2023-01-20 23:40:11,BR,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":27000},{""eventType"":""playing"",""sessionOffsetMs"":6541,""mediaOffsetMs"":27000},{""eventType"":""paused"",""sessionOffsetMs"":2944004,""mediaOffsetMs"":2963000},{""eventType"":""stopped"",""sessionOffsetMs"":2945973,""mediaOffsetMs"":2963000}]"
